feature,mean_abs_shap
market_return_lag_2,0.20270039
market_return,0.16767372
market_return_lag_3,0.11919603
market_return_lag_1,0.09772903
volume_change_lag_3,0.058241703
momentum_5,0.042260062
volume_change_lag_2,0.037216645
volume_change,0.029217644
momentum_10,0.025160832
vader_compound_mean,0.020334465
macd_lag_2,0.018932818
volatility_5_lag_3,0.018108152
vader_compound_std,0.01680328
finbert_score_mean_lag_3,0.014451672
volatility_10,0.012826743
Volume,0.01194579
rsi_14_lag_2,0.0117178
finbert_negative_mean,0.011586582
intraday_range,0.011237105
volatility_5,0.010611443
finbert_neutral_mean,0.010067424
finbert_score_mean_lag_1,0.009979537
vader_compound_mean_lag_1,0.009028934
rsi_14,0.008858632
daily_return_lag_1,0.008785326
macd,0.008561277
volume_change_lag_1,0.007858336
daily_return_lag_3,0.007772823
textblob_subjectivity_std,0.0073155407
ticker_PYPL,0.007092674
daily_return_lag_2,0.006140331
finbert_positive_std,0.00592111
Open,0.005597727
High,0.005565842
Low,0.005250091
volatility_5_lag_1,0.0051941453
vader_compound_mean_lag_3,0.0050677042
textblob_polarity_std,0.004832388
textblob_polarity_mean,0.0047774757
ma_ratio_10,0.0047410214
vader_positive_mean,0.0047362824
finbert_strength_lag_3,0.0046450454
bb_width_lag_2,0.0046206582
rsi_14_lag_3,0.0045358227
macd_lag_1,0.004435596
rsi_14_lag_1,0.0043061767
textblob_polarity_mean_lag_1,0.004256222
bb_width,0.0040188846
macd_signal,0.003595691
bb_width_lag_3,0.0034811876
finbert_score_mean_lag_2,0.003437455
vader_negative_mean,0.0032572167
tweet_count_log_lag_1,0.0031840524
textblob_subjectivity_mean,0.0031512738
bb_width_lag_1,0.0031159704
finbert_positive_mean,0.0031139718
volatility_5_lag_2,0.0030083193
macd_hist,0.0030052816
vader_neutral_mean,0.002870849
tweet_count_log_lag_2,0.0027387582
finbert_score_mean,0.0027200717
ma_ratio_5,0.0027178735
vader_positive_std,0.0027030907
macd_lag_3,0.0025902218
log_return_lag_2,0.002528462
bb_position,0.0024165527
log_return_lag_1,0.00241243
Adj Close,0.0023707214
finbert_strength_lag_1,0.0023231518
log_return_lag_3,0.0022774045
vader_compound_mean_lag_2,0.0021530124
Close,0.0018639338
textblob_strength,0.0018011656
daily_return,0.0016977554
finbert_strength_lag_2,0.0016593061
ticker_KO,0.0015306394
textblob_polarity_mean_lag_2,0.0014535256
finbert_score_std,0.0014042696
ma_ratio_20,0.0013814118
textblob_polarity_mean_lag_3,0.0012946704
vader_neutral_std,0.0009963716
vader_strength,0.0008524146
log_return,0.0007691131
tweet_count_log_lag_3,0.00065386755
finbert_negative_std,0.000610537
finbert_strength,0.00056801277
tweet_count,0.00036329104
vader_negative_std,0.00033930162
finbert_neutral_std,0.00028233594
event_day,0.00023421929
ticker_VZ,0.0002100216
ticker_BX,0.00016610156
ticker_PG,6.3206e-05
ticker_DIS,4.5475495e-05
ticker_TSM,0.0
ticker_TSLA,0.0
ticker_NIO,0.0
ticker_AMZN,0.0
ticker_BA,0.0
ticker_XPEV,0.0
ticker_NOC,0.0
ticker_ZS,0.0
ticker_COST,0.0
ticker_CRM,0.0
ticker_AMD,0.0
ticker_ENPH,0.0
ticker_F,0.0
ticker_GOOG,0.0
ticker_INTC,0.0
ticker_META,0.0
ticker_MSFT,0.0
ticker_NFLX,0.0
tweet_count_log,0.0
